skill,survey_tier,department_tags,description
Philosophical & Ethical Theory,Critical Analysis & Argumentation,"Philosophy,Humanities,Law,Medicine,Social Sciences,CS","A topic involving systematic philosophical reasoning: applying ethical frameworks (utilitarianism, deontology, virtue ethics), analysing arguments about justice, rights or knowledge, or examining foundational assumptions of a discipline. Applies to philosophy courses, bioethics, legal philosophy, AI ethics, political theory."
Policy & Governance Analysis,Critical Analysis & Argumentation,"Political Science,Public Policy,Law,Economics,Social Sciences","A topic focused on understanding political systems, governmental institutions, public policy design, or international relations. The student analyses how decisions are made collectively, how laws and regulations emerge, and how governance structures affect society. Examples: legislative process, comparative government, international law, environmental policy."
Systems Thinking,Systems & Integrative Thinking,"CS,Engineering,Sciences,Medicine,Business,Ecology","A topic focused on how components, subsystems, or agents interact to produce emergent behavior. The student learns how a whole system is organized, how information or control flows, and how design decisions at one level affect others. Applies across CS (distributed systems), engineering (control systems), medicine (physiological systems), ecology, and economics."
Interdisciplinary & Applied Integration,Systems & Integrative Thinking,All,"A topic that requires synthesizing knowledge from more than one discipline or applying academic knowledge to real-world professional contexts. Examples: biomedical engineering (biology + engineering), computational linguistics (CS + linguistics), public health policy (medicine + political science), sustainable architecture (design + environmental science)."
Biological & Life Sciences Concepts,Systems & Integrative Thinking,"Biology,Medicine,Pharmacy,Environmental Science,Biochemistry","A topic grounded in biology or life sciences: cellular processes, molecular biology, genetics, physiology, ecology, or evolutionary theory. The student builds understanding of how living systems are organized and how they function. Distinguished from Systems Thinking by its specific domain in biological organisms and life."
Physical & Chemical Sciences Concepts,Systems & Integrative Thinking,"Physics,Chemistry,Materials Science,Environmental Science,Engineering","A topic in physics, chemistry, or materials science: understanding laws of motion, energy transformations, chemical reactions, atomic structure, quantum mechanics, or electromagnetic phenomena. Examples: Newtonian mechanics, chemical bonding, thermodynamic cycles, quantum atomic models, electrochemistry."
Communication & Presentation,Communication & Expression,All,"A topic where the primary deliverable is a written or spoken output intended for an audience: a report, essay, presentation, or technical document. The skill is in communicating — structuring, clarifying, and conveying ideas — not just the underlying technical content. Universal across all disciplines."
Language & Linguistics,Communication & Expression,"Languages,Linguistics,Humanities,Education,Media Studies","A topic focused on language as a system: its structure (grammar, syntax, phonology), meaning (semantics, pragmatics), use in social contexts (sociolinguistics), or acquisition (first/second language learning). Applies to linguistics courses, foreign language study, translation studies, and language education."
"Media, Culture & Society",Communication & Expression,"Media Studies,Sociology,Cultural Studies,Journalism,Humanities","A topic examining the role of media, communication technologies, or cultural production in shaping society, identity, and public discourse. Examples: media framing of political events, representation in film, social media and democracy, advertising and consumer culture, journalistic ethics."
Ethical & Contextual Reasoning,"Ethics, Society & Sustainability",All,"A topic examining the social, ethical, legal, or professional dimensions of a subject. The student reasons about responsibility, fairness, consequences, or historical context. Examples: AI ethics, data privacy, environmental impact, bioethics, professional codes of conduct, social justice, corporate responsibility."
Sustainability & Environmental Studies,"Ethics, Society & Sustainability","Environmental Science,Engineering,Social Sciences,Economics,Policy","A topic focused on human-environment interaction, environmental science, or sustainable development: climate change, ecosystem services, pollution, renewable energy, or sustainability policy. Distinguished from general Ethics by its specific focus on environmental systems and sustainability."
Social & Cultural Studies,"Ethics, Society & Sustainability","Sociology,Anthropology,Cultural Studies,Social Work,Education","A topic centred on understanding social structures, cultural practices, or human communities: social stratification, identity formation, cultural norms, power dynamics, migration, or globalization. Applies to sociology, anthropology, cultural studies, social work, and related disciplines."
Psychological & Behavioural Understanding,"Ethics, Society & Sustainability","Psychology,Education,Social Sciences,Medicine,Business","A topic focusing on psychological processes: how individuals perceive, think, feel, decide, and develop. Includes cognitive psychology, developmental psychology, social influence, motivation, and mental health. Applies to psychology, education, behavioural economics, UX design, and clinical medicine."
Professional & Industry Practice,Professional Practice & Skills,"Engineering,Business,Medicine,Law,CS,Architecture,Education","A topic preparing students for professional practice: workplace norms, industry standards, professional ethics, teamwork, client communication, or career skills. Common in capstone courses, clinical placements, legal clinics, engineering design projects, and business case studies."
"Teaching, Learning & Pedagogy",Professional Practice & Skills,"Education,Social Sciences,Psychology,Medicine","A topic focused on educational theory and practice: how people learn, how curricula are designed, how teachers facilitate learning, and how student progress is assessed. Applies to education degrees, teacher training, instructional design, and educational psychology."
